辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,取り戻す,取り戻す,トリモドス,動詞-一般,五段-サ行,終止形-一般,トリモドス,トリモドス,和,取り戻す,トリモドス,26842
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,絶対,絶対,ゼッタイ,名詞-普通名詞-副詞可能,,,ゼッタイ,ゼッタイ,漢,絶対,ゼッタイ,20726
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,あきらめ,諦める,アキラメル,動詞-一般,下一段-マ行,未然形-一般,アキラメ,アキラメ,和,あきらめる,アキラメル,433
,I,ない,ない,ナイ,助動詞,助動詞-ナイ,連体形-一般,ナイ,ナイ,和,ない,ナイ,27438
,I,決意,決意,ケツイ,名詞-普通名詞-サ変可能,,,ケツイ,ケツイ,漢,決意,ケツイ,11177
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,もっ,持つ,モツ,動詞-一般,五段-タ行,連用形-促音便,モッ,モッ,和,もつ,モツ,37804
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,国家,国家,コッカ,名詞-普通名詞-一般,,,コッカ,コッカ,漢,国家,コッカ,12780
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,ため,為,タメ,名詞-普通名詞-副詞可能,,,タメ,タメ,和,ため,タメ,22686
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,果敢,果敢,カカン,形状詞-一般,,,カカン,カカン,漢,果敢,カカン,6023
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,働い,働く,ハタラク,動詞-一般,五段-カ行,連用形-イ音便,ハタライ,ハタライ,和,働く,ハタラク,29791
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,まいり,参る,マイル,動詞-非自立可能,五段-ラ行,連用形-一般,マイリ,マイリ,和,まいる,マイル,35450
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,「,「,,補助記号-括弧開,,,,,記号,「,,33
,I,政治,政治,セイジ,名詞-普通名詞-一般,,,セージ,セイジ,漢,政治,セイジ,19845
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,安定,安定,アンテイ,名詞-普通名詞-サ変形状詞可能,,,アンテー,アンテイ,漢,安定,アンテイ,1389
,I,」,」,,補助記号-括弧閉,,,,,記号,」,,34
,I,なくし,無くす,ナクス,動詞-一般,五段-サ行,連用形-一般,ナクシ,ナクシ,和,なくす,ナクス,27779
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,力強い,力強い,チカラヅヨイ,形容詞-一般,形容詞,連体形-一般,チカラズヨイ,チカラヅヨイ,和,力強い,チカラヅヨイ,23445
,I,経済,経済,ケイザイ,名詞-普通名詞-一般,,,ケーザイ,ケイザイ,漢,経済,ケイザイ,10945
,I,政策,政策,セイサク,名詞-普通名詞-一般,,,セーサク,セイサク,漢,政策,セイサク,19796
,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,力強い,力強い,チカラヅヨイ,形容詞-一般,形容詞,連体形-一般,チカラズヨイ,チカラヅヨイ,和,力強い,チカラヅヨイ,23445
,I,外交,外交,ガイコウ,名詞-普通名詞-一般,,,ガイコー,ガイコウ,漢,外交,ガイコウ,7918
,I,・,・,,補助記号-一般,,,,・,記号,・,,44
,I,安全,安全,アンゼン,名詞-普通名詞-形状詞可能,,,アンゼン,アンゼン,漢,安全,アンゼン,1366
,I,保障,保障,ホショウ,名詞-普通名詞-サ変可能,,,ホショー,ホショウ,漢,保障,ホショウ,34679
,I,政策,政策,セイサク,名詞-普通名詞-一般,,,セーサク,セイサク,漢,政策,セイサク,19796
,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,推進,推進,スイシン,名詞-普通名詞-サ変可能,,,スイシン,スイシン,漢,推進,スイシン,18917
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,いく,行く,イク,動詞-非自立可能,五段-カ行,連体形-一般,イク,イク,和,いく,イク,1713
,I,こと,事,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,でき,出来る,デキル,動詞-非自立可能,上一段-カ行,未然形-一般,デキ,デキ,和,できる,デキル,25624
,I,ない,ない,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,この,此の,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
,I,思い,思い,オモイ,名詞-普通名詞-一般,,,オモイ,オモイ,和,思い,オモイ,5220
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,胸,胸,ムネ,名詞-普通名詞-一般,,,ムネ,ムネ,和,胸,ムネ,37166
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,「,「,,補助記号-括弧開,,,,,記号,「,,33
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,再起,再起,サイキ,名詞-普通名詞-サ変可能,,,サイキ,サイキ,漢,再起,サイキ,13670
,I,」,」,,補助記号-括弧閉,,,,,記号,」,,34
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,目指す,目指す,メザス,動詞-一般,五段-サ行,連体形-一般,メザス,メザス,和,目指す,メザス,37392
,I,広範,広範,コウハン,形状詞-一般,,,コーハン,コウハン,漢,広範,コウハン,12323
,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
,I,政策,政策,セイサク,名詞-普通名詞-一般,,,セーサク,セイサク,漢,政策,セイサク,19796
,I,合意,合意,ゴウイ,名詞-普通名詞-サ変可能,,,ゴーイ,ゴウイ,漢,合意,ゴウイ,13349
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,下,下,モト,名詞-普通名詞-副詞可能,,,モト,モト,和,下,モト,37818
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,自由,自由,ジユウ,名詞-普通名詞-形状詞可能,,,ジユー,ジユウ,漢,自由,ジユウ,18456
,I,民主,民主,ミンシュ,名詞-普通名詞-一般,,,ミンシュ,ミンシュ,漢,民主,ミンシュ,36952
,I,党,党,トウ,接尾辞-名詞的-一般,,,トー,トウ,漢,党,トウ,25857
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,日本,日本,ニッポン,名詞-固有名詞-地名-国,,,ニッポン,ニッポン,固,日本,ニッポン,28455
,I,維新,維新,イシン,名詞-普通名詞-一般,,,イシン,イシン,漢,維新,イシン,1883
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,会,会,カイ,名詞-普通名詞-一般,,,カイ,カイ,漢,会,カイ,5605
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,よる,因る,ヨル,動詞-一般,五段-ラ行,連体形-一般,ヨル,ヨル,和,よる,ヨル,39521
,I,連立,連立,レンリツ,名詞-普通名詞-サ変可能,,,レンリツ,レンリツ,漢,連立,レンリツ,40830
,I,政権,政権,セイケン,名詞-普通名詞-一般,,,セーケン,セイケン,漢,政権,セイケン,19771
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,樹立,樹立,ジュリツ,名詞-普通名詞-サ変可能,,,ジュリツ,ジュリツ,漢,樹立,ジュリツ,18365
,I,いたし,致す,イタス,動詞-非自立可能,五段-サ行,連用形-一般,イタシ,イタシ,和,いたす,イタス,2004
,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス,35697
,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,さらに,更に,サラニ,接続詞,,,サラニ,サラニ,和,さらに,サラニ,14448
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,国家,国家,コッカ,名詞-普通名詞-一般,,,コッカ,コッカ,漢,国家,コッカ,12780
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,ため,為,タメ,名詞-普通名詞-副詞可能,,,タメ,タメ,和,ため,タメ,22686
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,政治,政治,セイジ,名詞-普通名詞-一般,,,セージ,セイジ,漢,政治,セイジ,19845
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,安定,安定,アンテイ,名詞-普通名詞-サ変形状詞可能,,,アンテー,アンテイ,漢,安定,アンテイ,1389
,I,さ,為る,スル,動詞-非自立可能,サ行変格,未然形-サ,サ,サ,和,する,スル,19537
,I,せる,せる,セル,助動詞,下一段-サ行,終止形-一般,セル,セル,和,せる,セル,20355
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,政権,政権,セイケン,名詞-普通名詞-一般,,,セーケン,セイケン,漢,政権,セイケン,19771
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,基本,基本,キホン,名詞-普通名詞-一般,,,キホン,キホン,漢,基本,キホン,8809
,I,方針,方針,ホウシン,名詞-普通名詞-一般,,,ホーシン,ホウシン,漢,方針,ホウシン,34473
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,矛盾,矛盾,ムジュン,名詞-普通名詞-サ変可能,,,ムジュン,ムジュン,漢,矛盾,ムジュン,37119
,I,し,為る,スル,動詞-非自立可能,サ行変格,未然形-一般,シ,シ,和,する,スル,19537
,I,ない,ない,ナイ,助動詞,助動詞-ナイ,連体形-一般,ナイ,ナイ,和,ない,ナイ,27438
,I,限り,限り,カギリ,名詞-普通名詞-副詞可能,,,カギリ,カギリ,和,限り,カギリ,6117
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,各党,各党,カクトウ,名詞-普通名詞-一般,,,カクトー,カクトウ,漢,各党,カクトウ,6210
,I,から,から,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ,7219
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,政策,政策,セイサク,名詞-普通名詞-一般,,,セーサク,セイサク,漢,政策,セイサク,19796
,I,提案,提案,テイアン,名詞-普通名詞-サ変可能,,,テーアン,テイアン,漢,提案,テイアン,24934
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,お,御,オ,接頭辞,,,オ,オ,和,お,オ,4350
,I,受け,受ける,ウケル,動詞-一般,下一段-カ行,連用形-一般,ウケ,ウケ,和,受ける,ウケル,3089
,I,し,し,シ,助詞-接続助詞,,,シ,シ,和,し,シ,14923
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,柔軟,柔軟,ジュウナン,形状詞-一般,,,ジューナン,ジュウナン,漢,柔軟,ジュウナン,18229
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,真摯,真摯,シンシ,形状詞-一般,,,シンシ,シンシ,漢,真摯,シンシ,17346
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,議論,議論,ギロン,名詞-普通名詞-サ変可能,,,ギロン,ギロン,漢,議論,ギロン,9967
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,まいり,参る,マイル,動詞-非自立可能,五段-ラ行,連用形-一般,マイリ,マイリ,和,まいる,マイル,35450
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,皆,皆,ミナ,名詞-普通名詞-副詞可能,,,ミナ,ミナ,和,皆,ミナ,36678
,I,様,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,様,サマ,14374
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,政治,政治,セイジ,名詞-普通名詞-一般,,,セージ,セイジ,漢,政治,セイジ,19845
,I,へ,へ,ヘ,助詞-格助詞,,,エ,ヘ,和,へ,ヘ,33819
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,信頼,信頼,シンライ,名詞-普通名詞-サ変可能,,,シンライ,シンライ,漢,信頼,シンライ,17578
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,回復,回復,カイフク,名詞-普通名詞-サ変可能,,,カイフク,カイフク,漢,回復,カイフク,5892
,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
,I,ため,為,タメ,名詞-普通名詞-副詞可能,,,タメ,タメ,和,ため,タメ,22686
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,改革,改革,カイカク,名詞-普通名詞-サ変可能,,,カイカク,カイカク,漢,改革,カイカク,5655
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
,I,全力,全力,ゼンリョク,名詞-普通名詞-一般,,,ゼンリョク,ゼンリョク,漢,全力,ゼンリョク,20907
,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
,I,取り組ん,取り組む,トリクム,動詞-一般,五段-マ行,連用形-撥音便,トリクン,トリクン,和,取り組む,トリクム,26780
,I,で,て,テ,助詞-接続助詞,,,デ,デ,和,で,デ,24874
,I,まいり,参る,マイル,動詞-非自立可能,五段-ラ行,連用形-一般,マイリ,マイリ,和,まいる,マイル,35450
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,それ,其れ,ソレ,代名詞,,,ソレ,ソレ,和,それ,ソレ,21461
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,国家,国家,コッカ,名詞-普通名詞-一般,,,コッカ,コッカ,漢,国家,コッカ,12780
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,ため,為,タメ,名詞-普通名詞-副詞可能,,,タメ,タメ,和,ため,タメ,22686
,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
,I,ある,有る,アル,動詞-非自立可能,五段-ラ行,終止形-一般,アル,アル,和,ある,アル,1216
,I,なら,だ,ダ,助動詞,助動詞-ダ,仮定形-一般,ナラ,ナラ,和,だ,ダ,22916
,I,ば,ば,バ,助詞-接続助詞,,,バ,バ,和,ば,バ,30503
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,決して,決して,ケッシテ,副詞,,,ケッシテ,ケッシテ,混,決して,ケッシテ,11140
,I,あきらめ,諦める,アキラメル,動詞-一般,下一段-マ行,未然形-一般,アキラメ,アキラメ,和,あきらめる,アキラメル,433
,I,ない,ない,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,これ,此れ,コレ,代名詞,,,コレ,コレ,和,これ,コレ,13095
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,この,此の,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
,I,内閣,内閣,ナイカク,名詞-普通名詞-一般,,,ナイカク,ナイカク,漢,内閣,ナイカク,27449
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,不動,不動,フドウ,名詞-普通名詞-一般,,,フドー,フドウ,漢,不動,フドウ,32948
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,方針,方針,ホウシン,名詞-普通名詞-一般,,,ホーシン,ホウシン,漢,方針,ホウシン,34473
,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,何,何,ナニ,代名詞,,,ナン,ナン,和,何,ナン,27920
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,実行,実行,ジッコウ,名詞-普通名詞-サ変可能,,,ジッコー,ジッコウ,漢,実行,ジッコウ,17936
,I,する,為る,スル,動詞-非自立可能,サ行変格,終止形-一般,スル,スル,和,する,スル,19537
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,「,「,,補助記号-括弧開,,,,,記号,「,,33
,I,強い,強い,ツヨイ,形容詞-一般,形容詞,連体形-一般,ツヨイ,ツヨイ,和,強い,ツヨイ,24791
,I,経済,経済,ケイザイ,名詞-普通名詞-一般,,,ケーザイ,ケイザイ,漢,経済,ケイザイ,10945
,I,」,」,,補助記号-括弧閉,,,,,記号,」,,34
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,つくる,作る,ツクル,動詞-一般,五段-ラ行,連体形-一般,ツクル,ツクル,和,つくる,ツクル,24562
,I,こと,事,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,必要,必要,ヒツヨウ,名詞-普通名詞-形状詞可能,,,ヒツヨー,ヒツヨウ,漢,必要,ヒツヨウ,31473
,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ,21394
,I,ため,為,タメ,名詞-普通名詞-副詞可能,,,タメ,タメ,和,ため,タメ,22686
